"Date";"Price";"Open";"High";"Low";"Vol.";"Change %"
"Jan 25, 2022";"0,7710";"0,7690";"0,7710";"0,7690";"0.50K";"1.45%"
"Jan 24, 2022";"0,7600";"0,7690";"0,7690";"0,7600";"5.00K";"-1.04%"
"Jan 21, 2022";"0,7680";"0,7800";"0,8240";"0,7600";"24.13K";"-1.54%"
"Jan 20, 2022";"0,7800";"0,7800";"0,7800";"0,7800";"-";"1.17%"
"Jan 19, 2022";"0,7710";"0,7710";"0,7710";"0,7710";"-";"0.39%"
"Jan 18, 2022";"0,7680";"0,7680";"0,7680";"0,7680";"-";"-4.00%"
"Jan 17, 2022";"0,8000";"0,7720";"0,8000";"0,7720";"1.00K";"3.63%"
"Jan 14, 2022";"0,7720";"0,7720";"0,7720";"0,7720";"-";"-1.15%"
"Jan 13, 2022";"0,7810";"0,7750";"0,7810";"0,7750";"0.50K";"-1.39%"
"Jan 12, 2022";"0,7920";"0,7800";"0,7920";"0,7800";"1.00K";"2.86%"
"Jan 11, 2022";"0,7700";"0,7800";"0,7800";"0,7700";"5.10K";"-1.53%"
"Jan 10, 2022";"0,7820";"0,7820";"0,7820";"0,7820";"-";"2.36%"
"Jan 07, 2022";"0,7640";"0,7640";"0,7640";"0,7640";"-";"-1.93%"
"Jan 06, 2022";"0,7790";"0,7780";"0,7790";"0,7780";"4.00K";"-2.01%"
"Jan 05, 2022";"0,7950";"0,7800";"0,7950";"0,7800";"7.55K";"3.92%"
"Jan 04, 2022";"0,7650";"0,7510";"0,7750";"0,7510";"6.90K";"5.37%"
"Jan 03, 2022";"0,7260";"0,7510";"0,7510";"0,7260";"8.50K";"-9.25%"
"Dec 30, 2021";"0,8000";"0,7750";"0,8000";"0,7750";"8.00K";"14.29%"
"Dec 29, 2021";"0,7000";"0,7000";"0,7000";"0,7000";"-";"-0.43%"
"Dec 28, 2021";"0,7030";"0,7450";"0,7450";"0,7030";"7.00K";"-8.22%"
"Dec 27, 2021";"0,7660";"0,7660";"0,7660";"0,7660";"1.11K";"0.00%"
"Dec 23, 2021";"0,7660";"0,7660";"0,7660";"0,7660";"-";"-1.42%"
"Dec 22, 2021";"0,7770";"0,7650";"0,7770";"0,7650";"1.20K";"0.78%"
"Dec 21, 2021";"0,7710";"0,7710";"0,7710";"0,7710";"-";"1.85%"
"Dec 20, 2021";"0,7570";"0,7740";"0,7740";"0,7570";"30.00K";"10.70%"
"Dec 17, 2021";"0,6838";"0,6838";"0,6838";"0,6838";"-";"0.56%"
"Dec 16, 2021";"0,6801";"0,6801";"0,6801";"0,6801";"-";"0.28%"
"Dec 15, 2021";"0,6782";"0,6782";"0,6782";"0,6782";"-";"0.28%"
"Dec 14, 2021";"0,6763";"0,6763";"0,6763";"0,6763";"-";"-6.33%"
"Dec 13, 2021";"0,7220";"0,7220";"0,7220";"0,7220";"-";"-6.36%"
